"Species"	"number_wasps"	"w"	"total_alive"	"total_nested"	"total_usurp"	"total_coNested"
"dominula"	70	6	3	3	0	2
"dominula"	70	7	2	2	0	1
"dominula"	70	8	3	3	0	1
"dominula"	70	9	2	2	0	1
"dominula"	70	10	3	3	0	1
"dominula"	70	11	4	4	1	0
"dominula"	70	12	2	2	0	2
"dominula"	70	13	2	2	0	2
"dominula"	70	14	2	2	0	1
"dominula"	70	15	2	2	0	2
"dominula"	70	16	1	1	0	1
"dominula"	70	17	2	2	0	1
"dominula"	70	18	3	3	0	0
"dominula"	70	19	2	2	0	0
"dominula"	70	20	3	3	0	1
"dominula"	70	21	3	3	0	1
"dominula"	70	22	3	3	0	1
"dominula"	70	23	2	2	0	1
"dominula"	70	24	2	2	0	1
"dominula"	70	25	1	1	0	1
"dominula"	70	26	0	0	0	0
"dominula"	70	27	2	2	0	1
"dominula"	70	28	2	2	0	2
"dominula"	70	29	2	2	0	2
"dominula"	70	30	1	1	0	1
"dominula"	70	31	3	3	0	2
"dominula"	70	32	2	2	0	2
"dominula"	70	33	3	3	0	0
"dominula"	70	34	1	1	0	1
"dominula"	70	35	2	2	0	2
"dominula"	70	36	2	2	0	1
"dominula"	70	37	2	2	0	2
"dominula"	70	38	3	3	0	1
"dominula"	70	39	4	4	0	2
"dominula"	70	40	1	1	0	1
"dominula"	70	41	1	1	0	1
"dominula"	70	42	2	2	0	0
"dominula"	70	43	2	2	0	2
"dominula"	70	44	2	2	0	2
"dominula"	70	45	2	2	0	2
"dominula"	70	46	2	2	0	2
"dominula"	70	47	2	2	0	2
"dominula"	70	48	2	2	0	2
"dominula"	70	49	3	3	0	3
"dominula"	70	50	2	2	0	1
"dominula"	70	51	2	2	0	2
"dominula"	70	52	4	4	1	1
"dominula"	70	53	1	1	0	1
"dominula"	70	54	3	3	0	3
"dominula"	70	55	1	1	0	0
"dominula"	70	56	3	3	0	1
"dominula"	70	57	1	1	0	1
"dominula"	70	58	3	3	1	2
"dominula"	70	59	1	1	0	1
"dominula"	70	60	1	1	0	1
"dominula"	70	61	2	2	0	1
"dominula"	70	62	3	3	0	1
"dominula"	70	63	3	3	0	2
"dominula"	70	64	3	3	0	2
"dominula"	70	65	1	1	0	1
"dominula"	70	66	3	3	0	3
"dominula"	70	67	3	3	0	2
"dominula"	70	68	2	2	0	1
"dominula"	70	69	2	2	0	1
"dominula"	70	70	3	3	0	2
"dominula"	80	1	3	3	0	0
"dominula"	80	2	3	3	0	0
"dominula"	80	3	2	2	0	0
