"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"
90	2	527	1	106.3	0.7	0.7	0
90	3	509	1	78.5	0.7	0.7	0.1
90	4	812	1	107.6	0.6	0.6	0
90	5	557	1	110.2	0.8	0.8	0.1
90	6	689	1	169.4	0.6	0.6	0
90	7	1086	1	158	0.7	0.7	0.1
90	8	897	1	175.3	0.7	0.7	0
90	9	1123	1	154.7	0.6	0.6	0.1
90	10	706	2	166.7	0.5	0.5	0
90	11	759	2	131	0.7	0.7	0
90	12	135	1	46.2	0.8	0.8	0
90	13	1487	2	259.2	0.7	0.7	0.1
90	14	438	2	83.2	0.7	0.7	0
90	15	1212	2	259.5	0.6	0.6	0.1
90	16	507	1	103.6	0.7	0.7	0.2
90	17	660	2	86.5	0.6	0.6	0.2
90	18	656	2	104.5	0.6	0.6	0.1
90	19	967	2	244.5	0.5	0.5	0.2
90	20	961	3	251.7	0.6	0.6	0.1
90	21	571	3	135.5	0.6	0.6	0.1
90	22	544	3	98.5	0.6	0.6	0
90	23	1542	1	233.2	0.5	0.5	0.3
90	24	544	2	119.6	0.7	0.7	0.3
90	25	168	3	78.2	0.7	0.7	0.3
90	26	482	3	154.8	0.7	0.7	0.1
90	27	1188	1	247.7	0.6	0.6	0.1
90	28	720	3	171.3	0.6	0.6	0.1
90	29	1218	3	287.4	0.7	0.7	0.4
90	30	2137	4	462	0.7	0.7	0.2
90	31	661	2	134	0.6	0.6	0.4
90	32	1249	5	210.8	0.6	0.6	0.1
90	33	225	5	47.3	0.8	0.8	0.2
90	34	1431	5	270.6	0.4	0.4	0.1
90	35	1840	3	290.4	0.7	0.7	0.1
90	36	256	1	108.7	0.6	0.6	0.3
90	37	550	3	178.9	0.6	0.6	0
90	38	1062	2	164.4	0.7	0.7	0.1
90	39	571	5	141.2	0.7	0.7	0.4
90	40	839	6	214.8	0.6	0.6	0.1
90	41	922	2	227.4	0.7	0.7	0.1
90	42	1221	9	238.7	0.6	0.6	0.2
90	43	1009	4	216.7	0.6	0.6	0.1
90	44	920	6	231.9	0.6	0.6	0
90	45	820	3	166.3	0.7	0.7	0.1
90	46	1165	5	251.7	0.6	0.6	0.1
90	47	295	3	65.8	0.7	0.7	0.4
90	48	1314	5	385.4	0.6	0.6	0.2
90	49	753	9	214.7	0.5	0.5	0.2
90	50	914	4	182.9	0.6	0.6	0.2
90	51	737	1	196.6	0.5	0.5	0.2
90	52	450	3	133	0.6	0.6	0.2
90	53	1484	7	235.4	0.7	0.7	0.5
90	54	733	3	110.8	0.7	0.7	0.3
90	55	1184	3	198	0.7	0.7	0.3
90	56	504	3	167.1	0.6	0.6	0.3
90	57	461	3	140.3	0.7	0.7	0.2
90	58	893	2	221.1	0.7	0.7	0.3
90	59	1629	8	200	0.7	0.7	0.4
90	60	1111	9	232.8	0.7	0.7	0.3
90	61	2032	2	346.5	0.7	0.7	0.4
90	62	759	2	183.9	0.6	0.6	0.5
90	63	385	10	118.1	0.5	0.5	0.1
90	64	1756	1	284.9	0.6	0.6	0.3
90	65	1267	1	272.3	0.7	0.7	0.2
90	66	437	11	91.5	0.6	0.6	0.1
90	67	1279	1	315.6	0.6	0.6	0.3
90	68	1519	1	320.6	0.7	0.7	0.3
90	69	1562	2	253.8	0.7	0.7	0.4
90	70	523	3	90.7	0.7	0.7	0.2
90	71	1074	8	350.2	0.6	0.6	0.2
90	72	1995	5	246.3	0.8	0.8	0.5
90	73	1287	6	197.8	0.6	0.6	0.2
90	74	1042	3	153.3	0.7	0.7	0.2
90	75	1073	6	218.5	0.8	0.8	0.4
90	76	830	5	214.8	0.6	0.6	0.2
90	77	760	2	126	0.7	0.7	0.4
90	78	444	2	81.1	0.7	0.7	0.4
90	79	621	9	170.2	0.6	0.6	0.3
90	80	1126	12	177.5	0.6	0.6	0.4
90	81	922	3	205.3	0.6	0.6	0.6
90	82	548	3	149	0.7	0.7	0.7
90	83	1741	1	330.3	0.7	0.7	0.4
90	84	469	1	107.4	0.5	0.5	0.1
90	85	850	5	183.1	0.7	0.7	0.4
90	86	465	8	104.1	0.5	0.5	0.1
90	87	475	12	171.1	0.7	0.7	0.1
90	88	1533	6	247.2	0.5	0.5	0.1
90	89	755	5	139.3	0.8	0.8	0.5
90	90	639	4	128	0.5	0.5	0
