"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"	"Treatment"
90	47	1371	2	229.3	0.7	0.7	0.1	"FSF"
90	48	1045	2	126.6	0.7	0.7	0.2	"FSF"
90	49	856	1	144.6	0.7	0.7	0.4	"FSF"
90	50	351	2	84.5	0.7	0.7	0.4	"FSF"
90	51	1062	1	133.1	0.7	0.7	0.1	"FSF"
90	52	583	3	110.6	0.8	0.8	0.2	"FSF"
90	53	353	1	49.4	0.8	0.8	0.2	"FSF"
90	54	317	1	75.6	0.6	0.6	0.2	"FSF"
90	55	2053	1	427.9	0.7	0.7	0.2	"FSF"
90	56	392	2	73.4	0.6	0.6	0.2	"FSF"
90	57	456	1	105.6	0.7	0.7	0.2	"FSF"
90	58	921	2	167.3	0.6	0.6	0.3	"FSF"
90	59	621	3	87.5	0.6	0.6	0.3	"FSF"
90	60	1542	3	183.3	0.7	0.7	0.3	"FSF"
90	61	711	3	105.8	0.8	0.8	0.2	"FSF"
90	62	1257	8	196.5	0.7	0.7	0.1	"FSF"
90	63	1647	1	215.6	0.5	0.5	0.3	"FSF"
90	64	398	2	101.9	0.7	0.7	0.4	"FSF"
90	65	847	3	105.3	0.7	0.7	0	"FSF"
90	66	636	4	126.9	0.6	0.6	0.2	"FSF"
90	67	795	2	201.4	0.6	0.6	0.2	"FSF"
90	68	782	1	195	0.7	0.7	0.5	"FSF"
90	69	689	4	107.2	0.7	0.7	0.1	"FSF"
90	70	750	1	91.7	0.9	0.9	0.5	"FSF"
90	71	758	2	131.5	0.6	0.6	0.5	"FSF"
90	72	1194	1	240.1	0.7	0.7	0.1	"FSF"
90	73	1687	3	355.5	0.8	0.8	0.4	"FSF"
90	74	343	1	69.1	0.7	0.7	0.5	"FSF"
90	75	900	3	142.9	0.8	0.8	0.1	"FSF"
90	76	427	4	96.8	0.7	0.7	0.3	"FSF"
90	77	1056	6	270.6	0.6	0.6	0.2	"FSF"
90	78	972	3	124.3	0.7	0.7	0.2	"FSF"
90	79	1048	1	163.3	0.7	0.7	0.5	"FSF"
90	80	179	3	53.2	0.6	0.6	0.3	"FSF"
90	81	1200	5	348.9	0.7	0.7	0.4	"FSF"
90	82	600	4	116.3	0.6	0.6	0.2	"FSF"
90	83	276	3	49.2	0.7	0.7	0.2	"FSF"
90	84	1303	2	165.3	0.7	0.7	0.3	"FSF"
90	85	1119	2	165.7	0.8	0.8	0.5	"FSF"
90	86	435	4	121.6	0.7	0.7	0.4	"FSF"
90	87	2517	4	267.3	0.8	0.8	0.2	"FSF"
90	88	463	1	56.5	0.8	0.8	0.2	"FSF"
90	89	886	1	109.4	0.8	0.8	0.3	"FSF"
90	90	669	3	81	0.9	0.9	0.3	"FSF"
100	1	847	1	128.9	0.8	0.8	0	"FSF"
100	2	132	1	19.5	0.9	0.9	0	"FSF"
100	3	296	1	57.4	0.8	0.8	0	"FSF"
100	4	393	1	54.6	0.8	0.8	0	"FSF"
100	5	75	1	22	0.8	0.8	0	"FSF"
100	6	80	1	16.4	0.9	0.9	0	"FSF"
100	7	818	1	157.4	0.8	0.8	0	"FSF"
100	8	297	1	38.1	0.9	0.9	0.2	"FSF"
100	9	161	1	34.4	0.8	0.8	0	"FSF"
100	10	2726	1	284.4	0.8	0.8	0	"FSF"
100	11	502	2	72.4	0.8	0.8	0	"FSF"
100	12	814	1	129	0.8	0.8	0	"FSF"
100	13	447	2	68.9	0.6	0.6	0	"FSF"
100	14	763	1	128.2	0.6	0.6	0.2	"FSF"
100	15	1252	1	135	0.8	0.8	0.2	"FSF"
100	16	1048	2	179.7	0.8	0.8	0.1	"FSF"
100	17	812	2	109.9	0.8	0.8	0	"FSF"
100	18	625	1	149.3	0.7	0.7	0.1	"FSF"
100	19	956	2	157.6	0.7	0.7	0	"FSF"
100	20	68	2	13.9	0.9	0.9	0.2	"FSF"
100	21	1510	1	218	0.7	0.7	0.2	"FSF"
100	22	609	3	92.3	0.8	0.8	0.1	"FSF"
100	23	995	1	172.2	0.7	0.7	0.2	"FSF"
100	24	143	3	53.2	0.7	0.7	0	"FSF"
100	25	793	1	106.8	0.7	0.7	0.3	"FSF"
100	26	2190	1	269.4	0.7	0.7	0.2	"FSF"
100	27	891	2	155.5	0.7	0.7	0.2	"FSF"
100	28	1087	1	128.9	0.6	0.6	0.3	"FSF"
100	29	872	2	123.9	0.8	0.8	0.2	"FSF"
