"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"	"Treatment"
90	7	7	0	7	"FSF"
90	8	8	0	8	"FSF"
90	9	7	0	7	"FSF"
90	10	8	1	8	"FSF"
90	11	7	0	7	"FSF"
90	12	6	0	6	"FSF"
90	13	7	1	7	"FSF"
90	14	7	1	7	"FSF"
90	15	7	0	7	"FSF"
90	16	8	1	8	"FSF"
90	17	6	1	6	"FSF"
90	18	9	0	9	"FSF"
90	19	9	0	9	"FSF"
90	20	8	3	8	"FSF"
90	21	8	3	8	"FSF"
90	22	7	0	7	"FSF"
90	23	8	1	8	"FSF"
90	24	6	0	6	"FSF"
90	25	7	1	7	"FSF"
90	26	8	4	8	"FSF"
90	27	8	2	8	"FSF"
90	28	9	2	9	"FSF"
90	29	6	1	6	"FSF"
90	30	8	3	8	"FSF"
90	31	7	2	7	"FSF"
90	32	8	1	8	"FSF"
90	33	6	2	6	"FSF"
90	34	9	1	9	"FSF"
90	35	6	1	6	"FSF"
90	36	7	1	7	"FSF"
90	37	7	0	7	"FSF"
90	38	8	1	8	"FSF"
90	39	9	5	9	"FSF"
90	40	8	1	8	"FSF"
90	41	6	3	6	"FSF"
90	42	7	3	7	"FSF"
90	43	7	3	7	"FSF"
90	44	8	1	8	"FSF"
90	45	8	3	8	"FSF"
90	46	7	1	7	"FSF"
90	47	7	1	7	"FSF"
90	48	7	2	7	"FSF"
90	49	7	4	7	"FSF"
90	50	7	4	7	"FSF"
90	51	7	1	7	"FSF"
90	52	8	2	8	"FSF"
90	53	8	2	8	"FSF"
90	54	6	2	6	"FSF"
90	55	7	2	7	"FSF"
90	56	6	2	6	"FSF"
90	57	7	2	7	"FSF"
90	58	6	3	6	"FSF"
90	59	6	3	6	"FSF"
90	60	7	3	7	"FSF"
90	61	8	2	8	"FSF"
90	62	7	1	7	"FSF"
90	63	5	3	5	"FSF"
90	64	7	4	7	"FSF"
90	65	7	0	7	"FSF"
90	66	6	2	6	"FSF"
90	67	6	2	6	"FSF"
90	68	7	5	7	"FSF"
90	69	7	1	7	"FSF"
90	70	9	5	9	"FSF"
90	71	6	5	6	"FSF"
90	72	7	1	7	"FSF"
90	73	8	4	8	"FSF"
90	74	7	5	7	"FSF"
90	75	8	1	8	"FSF"
90	76	7	3	7	"FSF"
90	77	6	2	6	"FSF"
90	78	7	2	7	"FSF"
90	79	7	5	7	"FSF"
90	80	6	3	6	"FSF"
90	81	7	4	7	"FSF"
90	82	6	2	6	"FSF"
90	83	7	2	7	"FSF"
90	84	7	3	7	"FSF"
90	85	8	5	8	"FSF"
90	86	7	4	7	"FSF"
90	87	8	2	8	"FSF"
90	88	8	2	8	"FSF"
90	89	8	3	8	"FSF"
90	90	9	3	9	"FSF"
100	1	8	0	8	"FSF"
100	2	9	0	9	"FSF"
100	3	8	0	8	"FSF"
100	4	8	0	8	"FSF"
100	5	8	0	8	"FSF"
