"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"
60	54	7	3	7
60	55	7	1	7
60	56	8	3	8
60	57	7	1	7
60	58	7	2	7
60	59	5	3	5
60	60	8	4	8
70	1	8	0	8
70	2	8	0	8
70	3	8	0	8
70	4	9	0	9
70	5	8	0	8
70	6	8	0	8
70	7	7	0	7
70	8	8	1	8
70	9	8	2	8
70	10	7	2	7
70	11	9	1	9
70	12	8	1	8
70	13	8	1	8
70	14	7	0	7
70	15	7	0	7
70	16	8	1	8
70	17	8	1	8
70	18	8	2	8
70	19	8	3	8
70	20	8	0	8
70	21	9	1	9
70	22	8	0	8
70	23	7	2	7
70	24	8	1	8
70	25	7	1	7
70	26	7	2	7
70	27	8	1	8
70	28	7	1	7
70	29	9	2	9
70	30	7	1	7
70	31	8	2	8
70	32	8	5	8
70	33	7	2	7
70	34	9	1	9
70	35	8	3	8
70	36	8	2	8
70	37	7	4	7
70	38	7	1	7
70	39	7	2	7
70	40	8	2	8
70	41	8	4	8
70	42	7	1	7
70	43	9	0	9
70	44	8	3	8
70	45	7	1	7
70	46	9	2	9
70	47	7	2	7
70	48	7	1	7
70	49	7	3	7
70	50	7	2	7
70	51	7	4	7
70	52	5	2	5
70	53	8	5	8
70	54	7	1	7
70	55	6	1	6
70	56	7	4	7
70	57	5	4	5
70	58	7	3	7
70	59	9	3	9
70	60	7	1	7
70	61	7	2	7
70	62	7	2	7
70	63	8	3	8
70	64	7	3	7
70	65	7	4	7
70	66	7	4	7
70	67	8	7	8
70	68	8	2	8
70	69	7	2	7
70	70	6	2	6
80	1	8	0	8
80	2	7	0	7
80	3	8	0	8
80	4	8	0	8
80	5	7	1	7
80	6	9	0	9
80	7	9	1	9
80	8	9	2	9
80	9	7	0	7
80	10	8	1	8
80	11	8	0	8
80	12	8	2	8
80	13	8	1	8
80	14	8	0	8
80	15	9	0	9
80	16	8	1	8
80	17	8	1	8
80	18	8	1	8
80	19	7	1	7
80	20	7	1	7
80	21	8	2	8
80	22	7	1	7
80	23	8	1	8
80	24	9	2	9
80	25	8	2	8
80	26	8	1	8
80	27	7	1	7
80	28	7	2	7
80	29	9	1	9
80	30	6	1	6
80	31	6	1	6
80	32	8	1	8
80	33	7	2	7
80	34	7	4	7
80	35	8	1	8
80	36	8	3	8
80	37	6	0	6
80	38	7	2	7
80	39	6	3	6
80	40	8	1	8
80	41	8	5	8
80	42	8	3	8
80	43	7	0	7
80	44	8	2	8
80	45	8	4	8
80	46	7	3	7
80	47	7	1	7
80	48	7	3	7
80	49	6	0	6
80	50	6	4	6
80	51	8	1	8
80	52	6	2	6
80	53	7	1	7
80	54	7	4	7
80	55	8	3	8
80	56	7	3	7
80	57	7	5	7
80	58	8	2	8
80	59	6	0	6
80	60	6	1	6
80	61	7	4	7
80	62	5	3	5
80	63	7	4	7
80	64	7	3	7
80	65	5	1	5
80	66	7	2	7
80	67	7	2	7
80	68	7	0	7
80	69	7	4	7
80	70	7	3	7
80	71	7	1	7
80	72	8	1	8
80	73	8	3	8
80	74	7	1	7
80	75	6	2	6
80	76	6	2	6
80	77	7	2	7
80	78	5	3	5
80	79	8	4	8
80	80	7	4	7
90	1	8	0	8
90	2	8	0	8
90	3	8	0	8
90	4	8	0	8
90	5	8	1	8
90	6	7	0	7
90	7	7	0	7
90	8	8	0	8
90	9	7	0	7
90	10	8	1	8
90	11	7	0	7
90	12	6	0	6
90	13	7	1	7
90	14	7	1	7
90	15	7	0	7
90	16	8	1	8
90	17	6	1	6
90	18	9	0	9
90	19	9	0	9
90	20	8	3	8
90	21	8	3	8
90	22	7	0	7
90	23	8	1	8
90	24	6	0	6
90	25	7	1	7
90	26	8	4	8
90	27	8	2	8
90	28	9	2	9
90	29	6	1	6
90	30	8	3	8
90	31	7	2	7
90	32	8	1	8
90	33	6	2	6
90	34	9	1	9
90	35	6	1	6
90	36	7	1	7
90	37	7	0	7
90	38	8	1	8
90	39	9	5	9
90	40	8	1	8
90	41	6	3	6
90	42	7	3	7
90	43	7	3	7
90	44	8	1	8
90	45	8	3	8
90	46	7	1	7
90	47	7	1	7
90	48	7	2	7
90	49	7	4	7
90	50	7	4	7
90	51	7	1	7
90	52	8	2	8
90	53	8	2	8
90	54	6	2	6
90	55	7	2	7
90	56	6	2	6
90	57	7	2	7
90	58	6	3	6
90	59	6	3	6
90	60	7	3	7
90	61	8	2	8
90	62	7	1	7
90	63	5	3	5
90	64	7	4	7
90	65	7	0	7
90	66	6	2	6
90	67	6	2	6
90	68	7	5	7
90	69	7	1	7
90	70	9	5	9
90	71	6	5	6
90	72	7	1	7
90	73	8	4	8
90	74	7	5	7
90	75	8	1	8
90	76	7	3	7
90	77	6	2	6
90	78	7	2	7
90	79	7	5	7
90	80	6	3	6
90	81	7	4	7
90	82	6	2	6
90	83	7	2	7
90	84	7	3	7
90	85	8	5	8
90	86	7	4	7
90	87	8	2	8
90	88	8	2	8
90	89	8	3	8
90	90	9	3	9
100	1	8	0	8
100	2	9	0	9
100	3	8	0	8
100	4	8	0	8
100	5	8	0	8
100	6	9	0	9
100	7	8	0	8
100	8	9	2	9
100	9	8	0	8
100	10	8	0	8
100	11	8	0	8
100	12	8	0	8
100	13	6	0	6
100	14	6	2	6
100	15	8	2	8
100	16	8	1	8
100	17	8	0	8
100	18	7	1	7
100	19	7	0	7
100	20	9	2	9
100	21	7	2	7
100	22	8	1	8
100	23	7	2	7
100	24	7	0	7
100	25	7	3	7
100	26	7	2	7
100	27	7	2	7
100	28	6	3	6
100	29	8	2	8
